# This run has the following parameters:
# Algorithm version: 3
# time sites: 1000
# mass: 1
# time step: 0.1
# mu squared: 1
# inverse scattering length: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 100000
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position hist_bins: 40
# action hist_bins: 100
# correlation size: 6
# correlation ts: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
# export potential steps: 1000
# export potential bound: 5
# corr tau max: 6
# t_0: 1
# t_0 mode: 1
# ----
# tau 	 c??_val 	 c??_err
0.1	0.999954	0.000295778
0.2	0.570524	0.0360088
0.3	0.298433	0.0335331
0.4	0.156701	0.0179364
0.5	0.0846269	0.0117196
0.6	0.0456172	0.0105535
0.7	0.0227254	0.00406605
0.8	0.0113126	0.00229453
0.9	0.00660316	0.0019661
1	0.00386556	0.00237357
1.1	0.00142068	0.00196578
1.2	0.00142857	0.0017798
1.3	0.00183814	0.00123448
1.4	0.00150303	0.00068532
1.5	0.000542359	0.000403647
1.6	0.000247312	0.000260793
1.7	0.000209985	0.000253144
1.8	0.000128839	0.000216235
1.9	4.87251e-05	0.000192346
2	-3.41557e-05	0.000204002
2.1	-7.30775e-05	0.000177997
2.2	-2.77085e-05	0.00012633
2.3	4.17466e-06	0.000131509
2.4	3.45271e-06	0.000148504
2.5	2.54118e-05	0.000141901
2.6	2.89985e-05	0.000158523
2.7	2.89111e-05	0.000146339
2.8	1.85071e-05	0.000164335
2.9	-4.87804e-05	0.000172794
3	4.6786e-05	0.000190559
3.1	0.000107682	0.00020814
3.2	7.89971e-05	0.000180249
3.3	0.00016296	0.000215926
3.4	0.000137134	0.000178527
3.5	2.82373e-05	0.000174859
3.6	4.86727e-06	0.000172463
3.7	-6.02102e-05	0.000189576
3.8	-7.32026e-06	0.000144533
3.9	-2.21048e-05	0.000137894
4	9.27795e-07	0.000110584
4.1	2.97989e-05	0.000170934
4.2	9.28141e-05	0.000171093
4.3	9.17625e-05	0.000163658
4.4	7.41209e-05	0.000141255
4.5	4.36038e-05	0.000127084
4.6	3.33554e-05	0.000164294
4.7	1.17523e-05	0.000143452
4.8	-3.23836e-05	0.000121426
4.9	-5.58339e-05	0.000122462
5	-3.8602e-06	9.45601e-05
5.1	5.60824e-05	0.000111253
5.2	0.000109573	0.000138739
5.3	8.49686e-05	0.000135548
5.4	5.10328e-05	0.000125018
5.5	2.62466e-06	0.00010173
5.6	-3.26437e-05	0.000125592
5.7	-4.26066e-05	0.00011252
5.8	-1.87992e-06	6.93765e-05
5.9	-2.71896e-05	0.000115791
