# This run has the following parameters:
# Algorithm version: 3
# time sites: 1000
# mass: 1
# time step: 0.1
# mu squared: 1
# inverse scattering length: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 100000
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position hist_bins: 40
# action hist_bins: 100
# correlation size: 6
# correlation ts: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
# export potential steps: 1000
# export potential bound: 5
# corr tau max: 6
# t_0: 1
# t_0 mode: 1
# ----
# tau 	 c??_val 	 c??_err
0.1	1.00616	0.00733032
0.2	0.791555	0.0606115
0.3	0.615593	0.0678276
0.4	0.487876	0.065487
0.5	0.390498	0.057079
0.6	0.315843	0.0499616
0.7	0.257028	0.0433569
0.8	0.209607	0.036493
0.9	0.171202	0.0305357
1	0.139801	0.02477
1.1	0.113912	0.0192519
1.2	0.0937486	0.01652
1.3	0.0770377	0.0138866
1.4	0.0629059	0.0110841
1.5	0.0513167	0.00856476
1.6	0.042086	0.00708749
1.7	0.034547	0.00610794
1.8	0.0281646	0.00494507
1.9	0.0229371	0.00384372
2	0.0186717	0.00316429
2.1	0.0152915	0.00276788
2.2	0.0126083	0.00241315
2.3	0.0105254	0.00220397
2.4	0.00883613	0.0021214
2.5	0.00755959	0.00192634
2.6	0.00639489	0.0015725
2.7	0.00539969	0.00117896
2.8	0.00467068	0.000831067
2.9	0.00402683	0.00061757
3	0.00344578	0.000562055
3.1	0.00297494	0.000611065
3.2	0.00260909	0.000646017
3.3	0.00220762	0.000386709
3.4	0.00187994	0.000374851
3.5	0.00166162	0.000400678
3.6	0.00143377	0.000410715
3.7	0.00113636	0.000410068
3.8	0.000942565	0.000487223
3.9	0.000563125	0.000333419
4	0.000466133	0.000318508
4.1	0.000392144	0.00029706
4.2	0.000438796	0.000847705
4.3	0.000472172	0.00111779
4.4	0.000275668	0.000583822
4.5	0.000263231	0.000656292
4.6	0.000180763	0.000262942
4.7	0.000295135	0.000449153
4.8	0.000391381	0.000324583
4.9	0.000499264	0.000289897
5	0.000556595	0.000279909
5.1	0.000422649	0.000278336
5.2	0.000308556	0.000312713
5.3	0.000230811	0.000350809
5.4	0.000461909	0.000653033
5.5	0.000587945	0.000871671
5.6	0.000473604	0.000797513
5.7	0.000465079	0.000796405
5.8	0.000347452	0.000551729
5.9	0.000238702	0.000360192
